Comment,Designator,Footprint,LCSC, LCSC
"1u","C1,C2,C3","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C28323"
"100n","C4,C8,C10,C11,C12,C13,C14","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C14663"
"10u","C5","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",""," C16133"
"100u","C7","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",""," C16133"
"10u","C9","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C15850"
"LED","D101","LED_SMD:LED_0805_2012Metric","","C34499"
"Fiducial","GOTE1","videobits:uwuriel","","NOT FITTED"
"Fiducial","GOTE2","videobits:borgar","","NOT FITTED"
"VGA","J1","custom_components:VGA_CONN","","NOT FITTED"
"USB_C_Receptacle_Power","J3","videobits:USB_C_Receptacle_Generic_Power_Only","","C283540"
"SCART_CONN","J4","custom_components:SCART_CONN","","NOT FITTED"
"3xRCA_CONN","J5","videobits:3xRCA_CONN_SINGLE","","NOT FITTED"
"Jumper_3_Bridged12","JP1","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm","","NOT FITTED"
"Conn_Coaxial","JR1,JU1","videobits:Cheapo_RCA_single_edge","","NOT FITTED"
"10u","L101","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C1046"
"1k","R1,R14,R19,R20,R24,R101","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17513"
"4k7","R12,R27","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17673"
"1k27","R13,R28","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C40880"
"5k1","R16,R17","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C27834"
"680k","R18","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17797"
"1k33","R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17382"
"511","R21","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C273884"
"2740","R22","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C26009"
"300","R23","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17617"
"1k77","R25,R26","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17397"
"75","R3,R4,R5,R9,R10,R11,R15","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C20638"
"1k402","R6,R7","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17388"
"510","R8","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17734"
"SC6206B-65K5","U1","Package_TO_SOT_SMD:SOT-23","","C88294"
"THS7374","U2","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""
"RS8752XK","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C236994"
"74AHCT1G86","U6,U7","Package_TO_SOT_SMD:SOT-23-5","","C43417"
"LM1881","U8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C357809"
