Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,-42.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,-42.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,32.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,32.500000,90.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,-46.300000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,-46.300000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,28.700000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,28.700000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,-53.900000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,-53.900000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,21.100000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,21.100000,270.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.300000,-40.900000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.300000,34.100000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.300000,34.100000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.300000,-40.900000,90.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",67.700000,-9.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",67.700000,65.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",13.700000,65.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",13.700000,-9.500000,270.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",85.000000,-13.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",85.000000,62.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",31.000000,62.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",31.000000,-13.000000,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.500000,-9.100000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,-9.100000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,65.900000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.500000,65.900000,270.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.600000,-14.600000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.600000,-14.600000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.600000,60.400000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.600000,60.400000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.900000,-17.700000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.900000,57.300000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.900000,57.300000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.900000,-17.700000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.100000,42.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.100000,-33.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.100000,42.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.100000,-33.000000,90.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.900000,19.100000,0.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.900000,19.100000,0.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.900000,-55.900000,0.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.900000,-55.900000,0.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,-28.300000,270.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.500000,-28.300000,270.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.500000,46.700000,270.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,46.700000,270.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.000000,41.350000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",79.000000,41.350000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",79.000000,-33.650000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.000000,-33.650000,180.000000,top
"D101","LED","LED_0805_2012Metric",92.000000,-11.900000,270.000000,top
"D101","LED","LED_0805_2012Metric",92.000000,63.100000,270.000000,top
"D101","LED","LED_0805_2012Metric",38.000000,63.100000,270.000000,top
"D101","LED","LED_0805_2012Metric",38.000000,-11.900000,270.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",52.400000,62.400000,90.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",-1.600000,-12.600000,90.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",52.400000,-12.600000,90.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",-1.600000,62.400000,90.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.600000,66.900000,0.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.600000,-8.100000,0.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.600000,-8.100000,0.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.600000,66.900000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.600000,-12.600000,180.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.600000,-12.600000,180.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.600000,62.400000,180.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.600000,62.400000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.800000,-12.600000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.800000,-12.600000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.800000,62.400000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.800000,62.400000,180.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,-38.700000,90.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,-38.700000,90.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,36.300000,90.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,36.300000,90.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,24.900000,270.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,-50.100000,270.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,24.900000,270.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,-50.100000,270.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,17.300000,270.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,17.300000,270.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.800000,-57.700000,270.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.800000,-57.700000,270.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.600000,50.000000,270.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-25.000000,270.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,50.000000,270.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.600000,-25.000000,270.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.600000,50.000000,270.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.600000,-25.000000,270.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.600000,50.000000,270.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.600000,-25.000000,270.000000,top
"R8","510","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.900000,-44.000000,90.000000,top
"R8","510","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.900000,-44.000000,90.000000,top
"R8","510","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.900000,31.000000,90.000000,top
"R8","510","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.900000,31.000000,90.000000,top
"R9","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.900000,56.000000,270.000000,top
"R9","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.900000,56.000000,270.000000,top
"R9","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.900000,-19.000000,270.000000,top
"R9","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.900000,-19.000000,270.000000,top
"R10","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.900000,31.000000,90.000000,top
"R10","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.900000,-44.000000,90.000000,top
"R10","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.900000,31.000000,90.000000,top
"R10","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.900000,-44.000000,90.000000,top
"R11","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.000000,40.400000,270.000000,top
"R11","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.000000,40.400000,270.000000,top
"R11","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.000000,-34.600000,270.000000,top
"R11","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.000000,-34.600000,270.000000,top
"R12","4k7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.600000,50.000000,270.000000,top
