Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.600000,-88.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.600000,-163.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.600000,-163.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.600000,-88.500000,90.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.600000,-167.300000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.600000,-92.300000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.600000,-167.300000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.600000,-92.300000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.600000,-99.900000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.600000,-174.900000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.600000,-174.900000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.600000,-99.900000,270.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.100000,-161.900000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.100000,-86.900000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.100000,-161.900000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.100000,-86.900000,90.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",98.500000,-55.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",43.500000,-55.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",98.500000,-130.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",43.500000,-130.500000,270.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",115.800000,-134.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",60.800000,-59.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",60.800000,-134.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",115.800000,-59.000000,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.300000,-130.100000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.300000,-55.100000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",104.300000,-130.100000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",104.300000,-55.100000,270.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.400000,-135.600000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.400000,-60.600000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.400000,-135.600000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.400000,-60.600000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",48.700000,-138.700000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.700000,-63.700000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",48.700000,-63.700000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.700000,-138.700000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.900000,-79.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.900000,-79.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.900000,-154.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.900000,-154.000000,90.000000,top
