Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.700000,-77.500000,90.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.700000,-81.300000,-90.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.700000,-88.900000,-90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.900000,-77.950000,180.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",33.600000,-44.500000,-90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",50.900000,-48.000000,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.400000,-44.100000,-90.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.500000,-49.600000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.800000,-52.700000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.000000,-68.000000,90.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",45.000000,-92.600000,180.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.400000,-63.300000,-90.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.900000,-68.650000,180.000000,top
"D101","LED","LED_0805_2012Metric",57.900000,-46.900000,-90.000000,top
"GOTE1","Fiducial","uwuriel",53.900000,-96.600000,0.000000,top
"J1","VGA","VGA_CONN",24.500000,-75.000000,-90.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",18.300000,-47.600000,90.000000,top
"J4","SCART_CONN","SCART_CONN",29.300000,-98.000000,-90.000000,top
"J5","3xRCA_CONN","3xRCA_CONN_SINGLE",65.900000,-62.000000,90.000000,top
"JR1","Conn_Coaxial","Cheapo_RCA_single_edge",69.600000,-90.600000,-90.000000,top
"JU1","Conn_Coaxial","Cheapo_RCA_single_edge",69.600000,-103.620000,-90.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.500000,-43.100000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.500000,-47.600000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.700000,-47.600000,180.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.700000,-73.700000,90.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.700000,-85.100000,-90.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.700000,-92.700000,-90.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.500000,-60.000000,-90.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.500000,-60.000000,-90.000000,top
"R8","510","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.800000,-79.000000,90.000000,top
"R9","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.800000,-54.000000,-90.000000,top
"R10","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.800000,-79.000000,90.000000,top
