Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.8,-77.5,90,top
C2,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.8,-81.3,270,top
C3,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.8,-88.9,270,top
C4,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.3,-75.9,90,top
C7,33u,CP_Elec_6.3x7.7,51,-46.7,90,top
C8,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.5,-44.1,270,top
C9,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.6,-49.6,180,top
C10,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,38.9,-52.7,180,top
C11,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,49.7,-75,270,top
C12,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.9,-90.7,0,top
C13,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.5,-63.3,270,top
C14,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45,-68.65,180,top
J3,USB_C_Receptacle_Power,USB_C_Receptacle_Generic_Power_Only,18.4,-47.6,90,top
R1,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.6,-47.6,180,top
R2,1k33,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.8,-47.6,180,top
R3,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.8,-73.7,90,top
R4,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.8,-85.1,270,top
R5,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.8,-92.7,270,top
R6,1k402,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,50.2,-83,90,top
R7,1k402,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,52.2,-83,90,top
R8,510,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.6,-66.7,270,top
R9,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.6,-76.4,90,top
R10,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.7,-66.7,270,top
R11,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.95,-53.75,270,top
R12,4k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.2,-83,90,top
R13,1k27,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,56.2,-83,90,top
R14,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,49.7,-78.9,90,top
R15,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.5,-59.4,90,top
R16,5k1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,29.6,-46.2,180,top
R17,5k1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,29.6,-48.2,180,top
R18,680k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45,-70.7,180,top
R19,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.8,-52.7,180,top
R20,1070,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.6,-80.7,0,top
R21,549,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.6,-82.7,0,top
R22,2940,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.6,-84.7,0,top
R23,323,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,42.5,-83.6,90,top
R24,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,49.7,-71.1,270,top
R25,1k77,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.7,-71.1,270,top
R26,1k77,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54,-71.1,270,top
R27,4k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,58,-71.1,270,top
R28,1k27,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,56,-71.1,270,top
U1,SC6206B-65K5,SOT-23,42.746,-44.142,90,top
U2,TPF144-VR,MSOP-10_3x3mm_P0.5mm,44.9,-88,0,top
U3,RS8752XQ,TSSOP-8_4.4x3mm_P0.65mm,52.7,-77,90,top
U4,TPF-141TR,SOT-23-6,43.3,-77.5,270,top
U6,74AHC1G86,TSOT-23-5,33.8,-55.6,0,top
U7,74AHC1G86,TSOT-23-5,38.8,-55.6,0,top
U8,LM1881,SOIC-8_3.9x4.9mm_P1.27mm,45,-64.9,0,top
