Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-150.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-77.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-77.500000,90.000000,top
"C1","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-150.500000,90.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-154.300000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-81.300000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-81.300000,270.000000,top
"C2","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-154.300000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-161.900000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-88.900000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-88.900000,270.000000,top
"C3","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-161.900000,270.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.100000,-75.900000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.100000,-148.900000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.100000,-148.900000,90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.100000,-75.900000,90.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",86.500000,-117.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",33.500000,-44.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",86.500000,-44.500000,270.000000,top
"C5","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",33.500000,-117.500000,270.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",50.800000,-121.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",50.800000,-48.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",103.800000,-48.000000,90.000000,top
"C7","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",103.800000,-121.000000,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.300000,-117.100000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.300000,-44.100000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.300000,-44.100000,270.000000,top
"C8","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.300000,-117.100000,270.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.400000,-122.600000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.400000,-49.600000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.400000,-122.600000,180.000000,top
"C9","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.400000,-49.600000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.700000,-125.700000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.700000,-52.700000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.700000,-125.700000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.700000,-52.700000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.900000,-141.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.900000,-141.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.900000,-68.000000,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.900000,-68.000000,90.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.700000,-163.700000,0.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.700000,-163.700000,0.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.700000,-90.700000,0.000000,top
"C12","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.700000,-90.700000,0.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.300000,-136.300000,270.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.300000,-63.300000,270.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.300000,-63.300000,270.000000,top
"C13","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.300000,-136.300000,270.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.800000,-68.650000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.800000,-68.650000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.800000,-141.650000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.800000,-141.650000,180.000000,top
"D101","LED","LED_0805_2012Metric",57.800000,-46.900000,270.000000,top
"D101","LED","LED_0805_2012Metric",110.800000,-119.900000,270.000000,top
"D101","LED","LED_0805_2012Metric",110.800000,-46.900000,270.000000,top
"D101","LED","LED_0805_2012Metric",57.800000,-119.900000,270.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",71.200000,-120.600000,90.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",18.200000,-47.600000,90.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",71.200000,-47.600000,90.000000,top
"J3","USB_C_Receptacle_Power","USB_C_Receptacle_Generic_Power_Only",18.200000,-120.600000,90.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.400000,-43.100000,0.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.400000,-116.100000,0.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.400000,-116.100000,0.000000,top
"L101","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.400000,-43.100000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.400000,-47.600000,180.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.400000,-120.600000,180.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.400000,-47.600000,180.000000,top
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",97.400000,-120.600000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.600000,-120.600000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.600000,-47.600000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.600000,-47.600000,180.000000,top
"R2","1k33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.600000,-120.600000,180.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-146.700000,90.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-73.700000,90.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-146.700000,90.000000,top
"R3","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-73.700000,90.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-158.100000,270.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-85.100000,270.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-85.100000,270.000000,top
"R4","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-158.100000,270.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-92.700000,270.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-92.700000,270.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",90.600000,-165.700000,270.000000,top
"R5","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,-165.700000,270.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.400000,-133.000000,270.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.400000,-60.000000,270.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.400000,-133.000000,270.000000,top
"R6","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.400000,-60.000000,270.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.400000,-60.000000,270.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.400000,-133.000000,270.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.400000,-133.000000,270.000000,top
"R7","1k402","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.400000,-60.000000,270.000000,top
