Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,1u,C28323
"C10, C11, C12, C13, C14, C4, C8",0805,7,100n,C14663
C5,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,10u, C16133
C7,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1,100u, C16133
C9,0805,1,10u,C15850
D101,0805,1,LED,C34499
GOTE1,uwuriel,1,Fiducial,NOT FITTED
GOTE2,borgar,1,Fiducial,NOT FITTED
J1,VGA_CONN,1,VGA,NOT FITTED
J3,USB_C_Receptacle_Generic_Power_Only,1,USB_C_Receptacle_Power,C283540
J4,SCART_CONN,1,SCART_CONN,NOT FITTED
J5,3xRCA_CONN_SINGLE,1,3xRCA_CONN,NOT FITTED
JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,1,Jumper_3_Bridged12,NOT FITTED
"JR1, JU1",Cheapo_RCA_single_edge,2,Conn_Coaxial,NOT FITTED
L101,0805,1,10u,C1046
"R1, R101, R14, R19, R20, R24",0805,6,1k,C17513
"R10, R11, R15, R3, R4, R5, R9",0805,7,75,C20638
"R12, R27",0805,2,4k7,C17673
"R13, R28",0805,2,1k27,C40880
"R16, R17",0805,2,5k1,C27834
R18,0805,1,680k,C17797
R2,0805,1,1k33,C17382
R21,0805,1,511,C273884
R22,0805,1,2740,C26009
R23,0805,1,300,C17617
"R25, R26",0805,2,1k77,C17397
"R6, R7",0805,2,1k402,C17388
R8,0805,1,510,C17734
U1,SOT-23,1,SC6206B-65K5,C130827
"U2, U4, U5, U9",SOT-23-6_Handsoldering,4,TPF141-TR,C155440
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,RS8752XK,C236994
"U6, U7",SOT-23-5,2,74AHCT1G86,C43417
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,LM1881,C518922
